                                                  XX Corr.                                          XY Corr.                                          XZ Corr.                                          YX Corr.                                          YY Corr.                                          YZ Corr.                                          ZX Corr.                                          ZY Corr.                                          ZZ Corr.                                          
10                                                (9.411327e-10,9.743875e-17)                       (0.2731616,-5.551115e-17)                         (-2.759173e-11,-1.090727e-17)                     (2.156186e-09,6.870381e-17)                       (3.432861e-10,9.111125e-17)                       (-0.2006763,-6.938894e-17)                        (-0.2001064,1.387779e-17)                         (-4.305113e-11,-5.226038e-17)                     (3.773476e-09,3.019224e-17)                       
11                                                (4.833917e-12,5.387056e-17)                       (3.564984e-10,-1.345935e-17)                      (-0.4808641,-4.996004e-16)                        (5.251675e-10,-3.808637e-17)                      (0.3901695,8.326673e-17)                          (-2.941061e-10,-5.463149e-17)                     (-0.4813106,3.053113e-16)                         (-2.762239e-09,-3.86506e-17)                      (1.114465e-10,-2.359673e-16)                      
12                                                (0.6309992,-3.885781e-16)                         (2.562713e-10,-0.01329544)                        (1.029256e-10,-0.013042)                          (2.562713e-10,0.01329544)                         (0.6312532,7.21645e-16)                           (-7.760215e-10,0.00388749)                        (1.029255e-10,0.013042)                           (-7.760215e-10,-0.00388749)                       (0.7377477,1.94289e-16)                           
13                                                (0.3895228,9.714451e-17)                          (-4.138922e-10,-1.728576e-16)                     (-5.128566e-10,4.279351e-17)                      (2.007043e-10,1.834065e-16)                       (1.067947e-09,-4.416289e-17)                      (-0.4812294,-3.053113e-16)                        (-2.723296e-10,8.635697e-17)                      (-0.4810748,-1.526557e-16)                        (1.976304e-09,1.035784e-16)                       
14                                                (5.545792e-10,-3.501514e-17)                      (4.440088e-10,-4.157996e-17)                      (-0.1998684,4.857226e-17)                         (0.2736451,7.632783e-17)                          (1.14558e-09,-6.637415e-17)                       (-3.754304e-10,-4.057885e-17)                     (-1.635399e-09,-8.080969e-17)                     (-0.2001429,1.110223e-16)                         (5.38808e-12,2.21613e-17)                         
15                                                (1.477388e-09,-1.088628e-17)                      (0.1467581,1.491862e-16)                          (-1.62058e-10,1.935865e-17)                       (0.1470857,-6.591949e-17)                         (5.780445e-10,-2.588737e-18)                      (-1.727024e-09,-4.599532e-17)                     (-3.940007e-09,-3.501577e-17)                     (-3.082986e-10,1.327712e-17)                      (0.1739543,-6.938894e-17)                         
16                                                (4.981986e-10,-9.113313e-18)                      (0.07136735,-2.602085e-17)                        (-3.270751e-09,3.415291e-17)                      (-4.331174e-09,2.347149e-17)                      (1.425411e-09,-1.710372e-17)                      (-0.1239094,-9.714451e-17)                        (-0.1237589,8.673617e-17)                         (3.376814e-09,-2.9329e-17)                        (4.214885e-09,2.325432e-18)                       
17                                                (9.972908e-09,3.579253e-17)                       (-2.721299e-09,-1.67985e-17)                      (-0.06942837,-1.040834e-17)                       (-1.316446e-08,1.257851e-17)                      (0.09003443,3.469447e-18)                         (6.207249e-10,-2.396945e-17)                      (-0.06959545,1.734723e-18)                        (-2.262103e-10,-7.819464e-19)                     (-4.729911e-09,-1.037517e-17)                     
18                                                (0.04924559,1.040834e-17)                         (-1.882413e-08,-1.79182e-17)                      (9.481009e-11,2.429204e-18)                       (-1.68644e-08,6.080634e-19)                       (0.04945669,-2.081668e-17)                        (2.956934e-09,-2.143422e-17)                      (-1.94287e-08,-9.786426e-18)                      (-5.624367e-09,2.350458e-17)                      (0.06799975,7.806256e-17)                         
19                                                (0.02958581,3.469447e-17)                         (5.519749e-09,1.107018e-17)                       (1.533643e-08,1.630584e-17)                       (-8.856427e-09,9.944324e-18)                      (6.214983e-09,2.10972e-17)                        (-0.04911943,-8.673617e-18)                       (-6.324558e-08,-3.685255e-19)                     (-0.04902321,-5.89806e-17)                        (5.183361e-08,1.048006e-17)                       
20                                                (-2.245815e-09,-1.635555e-17)                     (-1.048549e-08,3.337162e-18)                      (-0.02927663,-2.428613e-17)                       (0.03522955,-5.89806e-17)                         (1.978376e-09,-2.380694e-18)                      (-3.767598e-08,-7.533365e-19)                     (-3.305563e-08,-3.024867e-19)                     (-0.0293693,-2.081668e-17)                        (4.483118e-08,9.364351e-18)                       
21                                                (3.132593e-08,-5.196805e-18)                      (0.02128157,3.035766e-17)                         (4.796849e-08,-6.559466e-18)                      (0.02140181,-7.806256e-18)                        (2.107161e-08,-4.652308e-18)                      (1.480038e-08,-5.455318e-19)                      (1.040185e-07,-8.524655e-18)                      (-9.477147e-09,-1.957918e-18)                     (0.02954584,1.647987e-17)                         
22                                                (-1.840653e-08,4.621637e-18)                      (0.01289376,4.336809e-19)                         (-3.01979e-08,8.314363e-18)                       (-3.219721e-08,3.295291e-18)                      (-3.101055e-08,-2.695915e-18)                     (-0.0214855,-3.295975e-17)                        (-0.02142888,-1.908196e-17)                       (3.417523e-08,1.28361e-17)                        (-2.06456e-07,1.478992e-18)                       
23                                                (8.115636e-08,1.576404e-18)                       (3.347176e-08,-5.221885e-18)                      (-0.01313649,-3.469447e-18)                       (3.390778e-08,5.188447e-18)                       (0.01562313,1.691355e-17)                         (5.336007e-08,3.034578e-19)                       (-0.01318679,-1.517883e-17)                       (7.119536e-08,-4.997284e-18)                      (-1.101178e-07,-2.123713e-18)                     
24                                                (0.009532708,-9.324139e-18)                       (9.036036e-08,-6.581757e-18)                      (-1.032326e-07,-5.661992e-18)                     (-2.218195e-08,7.734915e-18)                      (0.009598847,-3.035766e-18)                       (-6.11617e-08,-4.968194e-18)                      (5.165194e-08,-3.545452e-18)                      (-4.536228e-07,-8.695799e-18)                     (0.01345658,5.637851e-18)                         
25                                                (0.005948731,4.336809e-19)                        (7.384206e-08,7.906705e-18)                       (-1.142754e-07,3.40724e-18)                       (7.60456e-08,-2.258365e-18)                       (1.018646e-07,2.361362e-18)                       (-0.009820822,6.938894e-18)                       (-9.519346e-08,2.249706e-18)                      (-0.009789652,-7.806256e-18)                      (7.21967e-07,9.460961e-18)                        
26                                                (5.809485e-08,-3.503651e-18)                      (2.316316e-08,4.010991e-19)                       (-0.006096659,-3.035766e-18)                      (0.007140893,1.084202e-18)                        (1.652958e-07,-5.080755e-18)                      (-1.244383e-07,2.11022e-18)                       (-4.662107e-07,-2.515688e-19)                     (-0.006123743,-6.722053e-18)                      (1.578673e-07,2.526289e-18)                       
